"";"Store";"StoreType";"Assortment";"CompetitionDistance";"CompetitionOpenSinceMonth";"CompetitionOpenSinceYear";"Promo2";"Promo2SinceWeek";"Promo2SinceYear";"PromoInterval";"CompetitionOpenSince";"States"
"591";591;"a";"c";3340;NA;NA;1;22;2012;"Mar,Jun,Sept,Dec";NA;"BW"
"592";592;"a";"a";2540;6;2005;0;NA;NA;"";Jun 2005;"NW"
"593";593;"a";"c";33060;3;2010;0;NA;NA;"";Mar 2010;"SH"
"594";594;"a";"a";1790;10;2011;0;NA;NA;"";Oct 2011;"HB, NI"
"595";595;"c";"c";1130;NA;NA;0;NA;NA;"";NA;"HB, NI"
"596";596;"c";"a";290;9;2006;0;NA;NA;"";Sep 2006;"HB, NI"
"597";597;"a";"a";150;9;2008;1;1;2012;"Mar,Jun,Sept,Dec";Sep 2008;"RP"
"598";598;"c";"a";550;12;2013;1;40;2014;"Jan,Apr,Jul,Oct";Dec 2013;"BY"
"599";599;"d";"c";580;11;2014;0;NA;NA;"";Nov 2014;"HB, NI"
"600";600;"d";"c";17340;6;2010;1;9;2011;"Feb,May,Aug,Nov";Jun 2010;"SH"
"601";601;"d";"a";8220;4;2014;1;14;2011;"Jan,Apr,Jul,Oct";Apr 2014;"HE"
"602";602;"a";"a";2710;7;2001;1;22;2012;"Mar,Jun,Sept,Dec";Jul 2001;"HE"
"603";603;"a";"a";340;4;2007;1;13;2010;"Jan,Apr,Jul,Oct";Apr 2007;"BW"
"604";604;"d";"a";10950;3;2014;0;NA;NA;"";Mar 2014;"BY"
"605";605;"d";"a";10310;4;2003;1;37;2009;"Jan,Apr,Jul,Oct";Apr 2003;"BW"
"606";606;"a";"a";2260;11;2007;0;NA;NA;"";Nov 2007;"HB, NI"
"607";607;"a";"a";350;8;1999;1;14;2011;"Jan,Apr,Jul,Oct";Aug 1999;"TH"
"608";608;"a";"c";18370;2;2013;1;14;2011;"Jan,Apr,Jul,Oct";Feb 2013;"ST"
"609";609;"a";"a";2070;9;2007;0;NA;NA;"";Sep 2007;"HB, NI"
"610";610;"a";"a";660;1;2007;0;NA;NA;"";Jan 2007;"NW"
"611";611;"a";"a";8080;12;2002;1;40;2014;"Jan,Apr,Jul,Oct";Dec 2002;"BY"
"612";612;"d";"c";2490;11;2012;1;31;2009;"Jan,Apr,Jul,Oct";Nov 2012;"BY"
"613";613;"c";"a";250;6;2007;1;14;2011;"Jan,Apr,Jul,Oct";Jun 2007;"TH"
"614";614;"a";"a";1160;12;2012;0;NA;NA;"";Dec 2012;"SN"
"615";615;"d";"a";730;8;2007;0;NA;NA;"";Aug 2007;"HE"
"616";616;"a";"c";3040;8;2011;1;35;2010;"Mar,Jun,Sept,Dec";Aug 2011;"NW"
"617";617;"a";"c";8940;NA;NA;1;9;2011;"Jan,Apr,Jul,Oct";NA;"SN"
"618";618;"d";"c";9910;NA;NA;0;NA;NA;"";NA;"HE"
"619";619;"a";"a";1600;6;2006;1;45;2009;"Feb,May,Aug,Nov";Jun 2006;"BY"
"620";620;"d";"c";5440;NA;NA;1;40;2014;"Jan,Apr,Jul,Oct";NA;"BY"
"621";621;"a";"a";30;7;2002;0;NA;NA;"";Jul 2002;"NW"
"622";622;"a";"c";NA;NA;NA;0;NA;NA;"";NA;"SH"
"623";623;"a";"a";4080;3;2011;1;13;2010;"Jan,Apr,Jul,Oct";Mar 2011;"NW"
"624";624;"a";"c";6920;9;2011;0;NA;NA;"";Sep 2011;"NW"
"625";625;"a";"a";1170;4;2011;1;22;2012;"Feb,May,Aug,Nov";Apr 2011;"NW"
"626";626;"c";"c";10740;11;2013;0;NA;NA;"";Nov 2013;"SN"
"627";627;"c";"c";3970;3;2010;0;NA;NA;"";Mar 2010;"HE"
"628";628;"a";"c";2180;NA;NA;0;NA;NA;"";NA;"BE"
"629";629;"d";"a";510;7;2014;1;23;2015;"Mar,Jun,Sept,Dec";Jul 2014;"BY"
"630";630;"a";"a";1690;NA;NA;0;NA;NA;"";NA;"TH"
"631";631;"d";"c";2870;NA;NA;1;35;2012;"Mar,Jun,Sept,Dec";NA;"SH"
"632";632;"a";"a";3350;2;2010;0;NA;NA;"";Feb 2010;"HH"
"633";633;"d";"a";11640;4;2005;1;22;2011;"Jan,Apr,Jul,Oct";Apr 2005;"BY"
"634";634;"d";"a";18610;NA;NA;0;NA;NA;"";NA;"SN"
"635";635;"a";"a";27530;4;2014;0;NA;NA;"";Apr 2014;"ST"
"636";636;"c";"a";720;10;2004;1;13;2010;"Jan,Apr,Jul,Oct";Oct 2004;"BY"
"637";637;"d";"c";9790;NA;NA;1;31;2009;"Feb,May,Aug,Nov";NA;"BY"
"638";638;"d";"a";10170;11;2001;0;NA;NA;"";Nov 2001;"BY"
"639";639;"a";"a";7780;11;2006;0;NA;NA;"";Nov 2006;"NW"
"640";640;"d";"c";8040;NA;NA;0;NA;NA;"";NA;"NW"
"641";641;"a";"c";610;12;2003;1;36;2013;"Mar,Jun,Sept,Dec";Dec 2003;"NW"
"642";642;"c";"c";530;4;2005;1;35;2010;"Mar,Jun,Sept,Dec";Apr 2005;"NW"
"643";643;"a";"a";230;6;2010;1;18;2010;"Feb,May,Aug,Nov";Jun 2010;"SH"
"644";644;"c";"a";4030;12;2004;1;14;2011;"Jan,Apr,Jul,Oct";Dec 2004;"BY"
"645";645;"a";"a";90;NA;NA;1;45;2009;"Feb,May,Aug,Nov";NA;"BW"
"646";646;"a";"a";620;9;2014;0;NA;NA;"";Sep 2014;"BY"
"647";647;"a";"c";7420;4;2013;0;NA;NA;"";Apr 2013;"SH"
"648";648;"d";"a";2130;12;2008;0;NA;NA;"";Dec 2008;"HB, NI"
"649";649;"a";"a";14570;11;2002;0;NA;NA;"";Nov 2002;"ST"
"650";650;"a";"a";1420;10;2012;1;40;2014;"Jan,Apr,Jul,Oct";Oct 2012;"BY"
"651";651;"a";"a";200;NA;NA;0;NA;NA;"";NA;"NW"
"652";652;"a";"a";20390;NA;NA;0;NA;NA;"";NA;"TH"
"653";653;"d";"c";7520;7;2014;1;45;2009;"Feb,May,Aug,Nov";Jul 2014;"NW"
"654";654;"c";"a";6930;9;2006;0;NA;NA;"";Sep 2006;"SN"
"655";655;"d";"c";960;11;2012;1;5;2013;"Feb,May,Aug,Nov";Nov 2012;"NW"
"656";656;"d";"a";410;4;2009;1;13;2010;"Jan,Apr,Jul,Oct";Apr 2009;"HE"
"657";657;"c";"c";80;1;2006;1;10;2014;"Jan,Apr,Jul,Oct";Jan 2006;"NW"
"658";658;"d";"c";520;NA;NA;1;37;2009;"Jan,Apr,Jul,Oct";NA;"NW"
"659";659;"d";"a";1590;3;2012;0;NA;NA;"";Mar 2012;"HE"
"660";660;"a";"a";1200;11;2006;1;40;2014;"Jan,Apr,Jul,Oct";Nov 2006;"BY"
"661";661;"d";"c";2140;7;2013;0;NA;NA;"";Jul 2013;"HE"
"662";662;"d";"a";1070;NA;NA;0;NA;NA;"";NA;"BE"
"663";663;"a";"c";7860;5;2005;0;NA;NA;"";May 2005;"BW"
"664";664;"d";"c";1680;10;2005;0;NA;NA;"";Oct 2005;"ST"
"665";665;"a";"a";90;12;2012;1;14;2011;"Jan,Apr,Jul,Oct";Dec 2012;"HE"
"666";666;"c";"c";2700;NA;NA;1;9;2011;"Mar,Jun,Sept,Dec";NA;"BW"
"667";667;"d";"c";2870;9;2012;0;NA;NA;"";Sep 2012;"SH"
"668";668;"c";"a";1270;9;2010;0;NA;NA;"";Sep 2010;"HB, NI"
"669";669;"d";"a";17080;7;2012;1;31;2013;"Jan,Apr,Jul,Oct";Jul 2012;"BY"
"670";670;"a";"a";2060;NA;NA;1;45;2009;"Feb,May,Aug,Nov";NA;"BY"
"671";671;"a";"c";2070;2;2008;1;39;2010;"Jan,Apr,Jul,Oct";Feb 2008;"BY"
"672";672;"c";"a";240;9;2002;0;NA;NA;"";Sep 2002;"SN"
"673";673;"d";"c";15170;NA;NA;1;5;2013;"Feb,May,Aug,Nov";NA;"BW"
"674";674;"a";"a";2640;12;2005;1;31;2013;"Feb,May,Aug,Nov";Dec 2005;"NW"
"675";675;"a";"a";2100;8;2013;1;14;2011;"Jan,Apr,Jul,Oct";Aug 2013;"NW"
"676";676;"b";"b";1410;9;2008;0;NA;NA;"";Sep 2008;"HE"
"677";677;"d";"a";1740;6;2014;1;45;2009;"Feb,May,Aug,Nov";Jun 2014;"BY"
"678";678;"c";"a";3250;NA;NA;1;40;2011;"Jan,Apr,Jul,Oct";NA;"NW"
"679";679;"a";"a";4140;9;2012;0;NA;NA;"";Sep 2012;"HB, NI"
"680";680;"c";"a";170;NA;NA;1;35;2012;"Mar,Jun,Sept,Dec";NA;"SH"
"681";681;"a";"c";620;NA;NA;1;1;2014;"Mar,Jun,Sept,Dec";NA;"RP"
"682";682;"b";"a";150;9;2006;0;NA;NA;"";Sep 2006;"HB, NI"
"683";683;"a";"a";2850;7;2014;0;NA;NA;"";Jul 2014;"HB, NI"
"684";684;"d";"c";680;NA;NA;1;22;2012;"Jan,Apr,Jul,Oct";NA;"BY"
"685";685;"a";"a";650;11;2013;1;37;2009;"Jan,Apr,Jul,Oct";Nov 2013;"NW"
"686";686;"a";"a";20050;4;2002;0;NA;NA;"";Apr 2002;"SN"
"687";687;"d";"c";2770;NA;NA;0;NA;NA;"";NA;"NW"
"688";688;"a";"a";18760;NA;NA;1;14;2011;"Jan,Apr,Jul,Oct";NA;"ST"
"689";689;"d";"a";15040;10;2004;0;NA;NA;"";Oct 2004;"HE"
"690";690;"a";"a";100;NA;NA;0;NA;NA;"";NA;"NW"
"691";691;"d";"c";3030;NA;NA;1;37;2009;"Jan,Apr,Jul,Oct";NA;"NW"
"692";692;"a";"a";40;8;2001;0;NA;NA;"";Aug 2001;"NW"
"693";693;"d";"a";450;NA;NA;1;40;2011;"Jan,Apr,Jul,Oct";NA;"HE"
"694";694;"a";"c";460;11;2012;1;40;2014;"Jan,Apr,Jul,Oct";Nov 2012;"BY"
"695";695;"a";"a";550;7;2011;1;1;2012;"Jan,Apr,Jul,Oct";Jul 2011;"NW"
"696";696;"a";"c";430;NA;NA;0;NA;NA;"";NA;"HH"
"697";697;"d";"a";3780;NA;NA;1;40;2011;"Jan,Apr,Jul,Oct";NA;"NW"
"698";698;"a";"a";1790;5;2011;0;NA;NA;"";May 2011;"HB, NI"
"699";699;"a";"a";180;NA;NA;1;5;2013;"Jan,Apr,Jul,Oct";NA;"HE"
"700";700;"a";"c";830;NA;NA;1;27;2013;"Jan,Apr,Jul,Oct";NA;"HE"
"701";701;"d";"a";1450;3;2012;1;14;2011;"Jan,Apr,Jul,Oct";Mar 2012;"BY"
"702";702;"a";"a";8550;9;2001;1;45;2009;"Feb,May,Aug,Nov";Sep 2001;"BY"
"703";703;"a";"a";80;6;2005;0;NA;NA;"";Jun 2005;"NW"
"704";704;"d";"c";1910;4;2009;0;NA;NA;"";Apr 2009;"HB, NI"
"705";705;"a";"a";4140;9;2012;1;18;2011;"Feb,May,Aug,Nov";Sep 2012;"NW"
"706";706;"d";"a";7830;9;2014;1;10;2014;"Mar,Jun,Sept,Dec";Sep 2014;"BY"
"707";707;"a";"c";2900;7;1990;0;NA;NA;"";Jul 1990;"NW"
"708";708;"c";"c";11470;10;2009;1;18;2014;"Jan,Apr,Jul,Oct";Oct 2009;"SN"
"709";709;"a";"a";500;12;2010;0;NA;NA;"";Dec 2010;"HB, NI"
"710";710;"d";"a";1500;9;2008;1;14;2011;"Jan,Apr,Jul,Oct";Sep 2008;"BY"
"711";711;"d";"a";17110;3;2007;1;5;2010;"Jan,Apr,Jul,Oct";Mar 2007;"BY"
"712";712;"a";"a";4870;9;2007;1;45;2009;"Jan,Apr,Jul,Oct";Sep 2007;"BY"
"713";713;"a";"c";220;NA;NA;1;10;2014;"Jan,Apr,Jul,Oct";NA;"NW"
"714";714;"d";"c";12070;10;2005;1;10;2013;"Jan,Apr,Jul,Oct";Oct 2005;"BW"
"715";715;"a";"a";14810;6;2014;0;NA;NA;"";Jun 2014;"ST"
"716";716;"d";"a";3200;1;2008;1;22;2011;"Jan,Apr,Jul,Oct";Jan 2008;"BY"
"717";717;"d";"c";310;NA;NA;1;40;2011;"Jan,Apr,Jul,Oct";NA;"NW"
"718";718;"a";"a";1100;NA;NA;0;NA;NA;"";NA;"HE"
"719";719;"c";"c";8190;NA;NA;1;45;2009;"Feb,May,Aug,Nov";NA;"BY"
"720";720;"a";"c";15320;3;2011;1;14;2013;"Feb,May,Aug,Nov";Mar 2011;"SH"
"721";721;"a";"c";3590;9;2012;1;22;2012;"Mar,Jun,Sept,Dec";Sep 2012;"SH"
"722";722;"a";"a";50;NA;NA;0;NA;NA;"";NA;"BE"
"723";723;"d";"c";5650;9;2008;1;5;2013;"Feb,May,Aug,Nov";Sep 2008;"HE"
"724";724;"d";"c";5900;NA;NA;0;NA;NA;"";NA;"NW"
"725";725;"d";"c";17540;6;2012;0;NA;NA;"";Jun 2012;"SH"
"726";726;"a";"c";40540;2;2002;0;NA;NA;"";Feb 2002;"SN"
"727";727;"a";"a";2050;3;2007;0;NA;NA;"";Mar 2007;"HE"
"728";728;"d";"a";13990;NA;NA;1;14;2011;"Jan,Apr,Jul,Oct";NA;"BW"
"729";729;"c";"c";8980;6;2011;0;NA;NA;"";Jun 2011;"NW"
"730";730;"c";"a";1190;9;2013;0;NA;NA;"";Sep 2013;"HB, NI"
"731";731;"a";"a";15270;NA;NA;1;10;2014;"Jan,Apr,Jul,Oct";NA;"NW"
"732";732;"a";"c";35280;NA;NA;0;NA;NA;"";NA;"SH"
"733";733;"b";"b";860;10;1999;0;NA;NA;"";Oct 1999;"NW"
"734";734;"a";"a";220;NA;NA;1;36;2013;"Mar,Jun,Sept,Dec";NA;"NW"
"735";735;"d";"c";1920;4;2005;0;NA;NA;"";Apr 2005;"ST"
"736";736;"c";"c";1650;NA;NA;1;14;2011;"Jan,Apr,Jul,Oct";NA;"BY"
"737";737;"a";"a";100;5;2007;1;31;2013;"Jan,Apr,Jul,Oct";May 2007;"NW"
"738";738;"d";"c";5980;10;2005;0;NA;NA;"";Oct 2005;"NW"
"739";739;"d";"c";2770;6;2008;1;22;2011;"Jan,Apr,Jul,Oct";Jun 2008;"BY"
"740";740;"d";"a";6400;3;2014;0;NA;NA;"";Mar 2014;"HE"
"741";741;"d";"c";11900;NA;NA;0;NA;NA;"";NA;"BE"
"742";742;"d";"c";4380;NA;NA;0;NA;NA;"";NA;"NW"
"743";743;"a";"a";6710;11;2003;1;14;2012;"Jan,Apr,Jul,Oct";Nov 2003;"SN"
"744";744;"a";"a";1370;12;2011;1;40;2014;"Jan,Apr,Jul,Oct";Dec 2011;"BY"
"745";745;"a";"a";17650;11;2013;1;37;2009;"Jan,Apr,Jul,Oct";Nov 2013;"SN"
"746";746;"d";"c";4330;2;2011;1;35;2011;"Mar,Jun,Sept,Dec";Feb 2011;"HE"
"747";747;"c";"c";45740;8;2008;0;NA;NA;"";Aug 2008;"ST"
"748";748;"d";"a";2380;3;2010;1;14;2011;"Jan,Apr,Jul,Oct";Mar 2010;"NW"
"749";749;"a";"a";3410;8;2011;1;14;2015;"Jan,Apr,Jul,Oct";Aug 2011;"RP"
"750";750;"d";"a";8670;2;2002;1;14;2011;"Jan,Apr,Jul,Oct";Feb 2002;"BY"
"751";751;"a";"a";650;10;2006;0;NA;NA;"";Oct 2006;"NW"
"752";752;"a";"a";970;3;2013;1;31;2013;"Feb,May,Aug,Nov";Mar 2013;"NW"
"753";753;"d";"c";540;11;2012;1;35;2010;"Mar,Jun,Sept,Dec";Nov 2012;"NW"
"754";754;"c";"c";380;5;2008;1;10;2014;"Mar,Jun,Sept,Dec";May 2008;"TH"
"755";755;"d";"c";13130;12;2003;0;NA;NA;"";Dec 2003;"TH"
"756";756;"a";"c";50;NA;NA;1;40;2011;"Jan,Apr,Jul,Oct";NA;"NW"
"757";757;"a";"c";3450;NA;NA;0;NA;NA;"";NA;"BW"
"758";758;"a";"c";19780;6;2008;0;NA;NA;"";Jun 2008;"BW"
"759";759;"a";"a";110;11;2012;1;31;2013;"Feb,May,Aug,Nov";Nov 2012;"NW"
"760";760;"a";"a";560;1;2011;0;NA;NA;"";Jan 2011;"HB, NI"
"761";761;"a";"a";2390;9;2012;0;NA;NA;"";Sep 2012;"HB, NI"
"762";762;"d";"c";1280;NA;NA;1;10;2013;"Mar,Jun,Sept,Dec";NA;"BW"
"763";763;"d";"c";32240;3;2010;0;NA;NA;"";Mar 2010;"SH"
"764";764;"a";"c";26490;NA;NA;1;10;2014;"Mar,Jun,Sept,Dec";NA;"RP"
"765";765;"a";"c";25430;5;1999;1;37;2009;"Jan,Apr,Jul,Oct";May 1999;"BW"
"766";766;"d";"c";9820;NA;NA;0;NA;NA;"";NA;"BY"
"767";767;"a";"c";13080;NA;NA;0;NA;NA;"";NA;"SH"
"768";768;"a";"c";2630;9;2012;0;NA;NA;"";Sep 2012;"SH"
"769";769;"b";"b";840;NA;NA;1;48;2012;"Jan,Apr,Jul,Oct";NA;"NW"
"770";770;"a";"c";100;NA;NA;0;NA;NA;"";NA;"NW"
"771";771;"a";"a";20640;9;2007;0;NA;NA;"";Sep 2007;"BY"
"772";772;"d";"c";1850;NA;NA;0;NA;NA;"";NA;"HH"
"773";773;"a";"a";200;NA;NA;0;NA;NA;"";NA;"HE"
"774";774;"a";"c";640;9;2013;0;NA;NA;"";Sep 2013;"SH"
"775";775;"d";"c";6970;12;2005;1;22;2011;"Jan,Apr,Jul,Oct";Dec 2005;"BY"
"776";776;"c";"a";700;4;2009;1;14;2011;"Jan,Apr,Jul,Oct";Apr 2009;"NW"
"777";777;"d";"c";8250;10;2004;1;10;2013;"Mar,Jun,Sept,Dec";Oct 2004;"BW"
"778";778;"a";"a";340;6;2003;1;40;2014;"Jan,Apr,Jul,Oct";Jun 2003;"BY"
"779";779;"a";"a";16990;4;2004;0;NA;NA;"";Apr 2004;"SN"
"780";780;"a";"a";18160;NA;NA;0;NA;NA;"";NA;"SN"
"781";781;"a";"a";630;4;2007;0;NA;NA;"";Apr 2007;"ST"
"782";782;"c";"c";5390;8;2003;1;1;2012;"Jan,Apr,Jul,Oct";Aug 2003;"RP"
"783";783;"d";"c";15490;NA;NA;0;NA;NA;"";NA;"TH"
"784";784;"a";"a";560;10;2014;1;10;2014;"Jan,Apr,Jul,Oct";Oct 2014;"NW"
"785";785;"d";"c";970;7;2005;1;31;2013;"Feb,May,Aug,Nov";Jul 2005;"NW"
"786";786;"a";"a";290;11;2006;1;5;2013;"Feb,May,Aug,Nov";Nov 2006;"ST"
"787";787;"c";"c";3210;6;2009;0;NA;NA;"";Jun 2009;"SN"
"788";788;"a";"c";1530;3;2013;0;NA;NA;"";Mar 2013;"HB, NI"
"789";789;"a";"c";9770;7;2003;0;NA;NA;"";Jul 2003;"BW"
"790";790;"d";"c";9070;12;2003;0;NA;NA;"";Dec 2003;"HE"
"791";791;"a";"a";5950;4;2007;0;NA;NA;"";Apr 2007;"NW"
"792";792;"d";"a";17280;10;2009;1;18;2011;"Feb,May,Aug,Nov";Oct 2009;"NW"
"793";793;"d";"a";2710;7;2006;0;NA;NA;"";Jul 2006;"NW"
"794";794;"c";"c";5090;9;2006;0;NA;NA;"";Sep 2006;"SN"
"795";795;"d";"a";510;NA;NA;1;35;2010;"Mar,Jun,Sept,Dec";NA;"NW"
"796";796;"a";"c";7180;11;2012;0;NA;NA;"";Nov 2012;"NW"
"797";797;"a";"a";2090;10;2012;1;40;2014;"Jan,Apr,Jul,Oct";Oct 2012;"BY"
"798";798;"a";"a";9560;4;2001;0;NA;NA;"";Apr 2001;"SN"
"799";799;"a";"c";2700;NA;NA;0;NA;NA;"";NA;"NW"
"800";800;"d";"a";2020;7;2014;0;NA;NA;"";Jul 2014;"RP"
"801";801;"d";"a";48330;4;2013;0;NA;NA;"";Apr 2013;"SH"
"802";802;"a";"c";910;NA;NA;1;22;2011;"Feb,May,Aug,Nov";NA;"SH"
"803";803;"d";"a";1760;NA;NA;1;10;2014;"Mar,Jun,Sept,Dec";NA;"HE"
"804";804;"c";"c";2100;NA;NA;1;1;2013;"Jan,Apr,Jul,Oct";NA;"BY"
"805";805;"d";"a";24770;10;2011;1;10;2014;"Mar,Jun,Sept,Dec";Oct 2011;"BY"
"806";806;"d";"a";260;NA;NA;1;44;2010;"Feb,May,Aug,Nov";NA;"BY"
"807";807;"a";"a";3870;4;2008;0;NA;NA;"";Apr 2008;"HE"
"808";808;"a";"a";18620;NA;NA;1;31;2009;"Feb,May,Aug,Nov";NA;"SN"
"809";809;"a";"a";12770;10;2000;0;NA;NA;"";Oct 2000;"NW"
"810";810;"d";"c";9640;11;2013;0;NA;NA;"";Nov 2013;"RP"
"811";811;"a";"a";410;9;2012;0;NA;NA;"";Sep 2012;"SH"
"812";812;"d";"a";2590;9;2012;0;NA;NA;"";Sep 2012;"SN"
"813";813;"a";"a";1560;9;2003;0;NA;NA;"";Sep 2003;"BW"
"814";814;"d";"c";24530;7;2013;0;NA;NA;"";Jul 2013;"TH"
"815";815;"a";"a";590;1;1900;1;40;2014;"Jan,Apr,Jul,Oct";Jan 1900;"BY"
"816";816;"c";"c";460;NA;NA;0;NA;NA;"";NA;"NW"
"817";817;"a";"a";140;3;2006;0;NA;NA;"";Mar 2006;"HB, NI"
"818";818;"d";"a";490;NA;NA;1;35;2010;"Mar,Jun,Sept,Dec";NA;"HE"
"819";819;"a";"c";720;10;2014;0;NA;NA;"";Oct 2014;"SH"
"820";820;"a";"c";1650;NA;NA;1;40;2014;"Jan,Apr,Jul,Oct";NA;"BY"
"821";821;"a";"a";1700;9;2009;0;NA;NA;"";Sep 2009;"HB, NI"
"822";822;"a";"c";410;11;2010;1;48;2010;"Mar,Jun,Sept,Dec";Nov 2010;"SH"
"823";823;"a";"c";16210;11;2010;0;NA;NA;"";Nov 2010;"SH"
"824";824;"a";"a";17570;NA;NA;0;NA;NA;"";NA;"SH"
"825";825;"a";"a";380;5;2011;1;40;2014;"Jan,Apr,Jul,Oct";May 2011;"BY"
"826";826;"a";"c";7980;6;2005;0;NA;NA;"";Jun 2005;"NW"
"827";827;"a";"c";250;1;2005;0;NA;NA;"";Jan 2005;"HB, NI"
"828";828;"d";"c";3290;12;2014;0;NA;NA;"";Dec 2014;"ST"
"829";829;"c";"a";110;NA;NA;0;NA;NA;"";NA;"HE"
"830";830;"a";"c";6320;NA;NA;1;5;2011;"Jan,Apr,Jul,Oct";NA;"SN"
"831";831;"a";"a";800;6;2007;0;NA;NA;"";Jun 2007;"NW"
"832";832;"d";"a";5070;NA;NA;1;45;2009;"Feb,May,Aug,Nov";NA;"HE"
"833";833;"d";"c";3290;12;1999;1;35;2010;"Mar,Jun,Sept,Dec";Dec 1999;"RP"
"834";834;"a";"a";3470;3;2012;0;NA;NA;"";Mar 2012;"HB, NI"
"835";835;"a";"a";2890;12;2007;1;10;2014;"Mar,Jun,Sept,Dec";Dec 2007;"NW"
"836";836;"a";"a";2720;9;2012;0;NA;NA;"";Sep 2012;"SN"
"837";837;"a";"c";14600;NA;NA;0;NA;NA;"";NA;"HE"
"838";838;"d";"c";6890;NA;NA;1;48;2011;"Mar,Jun,Sept,Dec";NA;"TH"
"839";839;"c";"a";240;NA;NA;0;NA;NA;"";NA;"HB, NI"
"840";840;"a";"a";1070;9;2009;0;NA;NA;"";Sep 2009;"BE"
"841";841;"a";"a";27650;8;2004;0;NA;NA;"";Aug 2004;"SN"
"842";842;"d";"c";1200;11;2007;0;NA;NA;"";Nov 2007;"BY"
"843";843;"c";"a";60;4;2006;0;NA;NA;"";Apr 2006;"HB, NI"
"844";844;"a";"a";2030;9;2012;1;18;2011;"Feb,May,Aug,Nov";Sep 2012;"NW"
"845";845;"d";"a";7860;11;2005;1;14;2011;"Jan,Apr,Jul,Oct";Nov 2005;"NW"
"846";846;"a";"c";8860;4;2004;1;37;2009;"Jan,Apr,Jul,Oct";Apr 2004;"NW"
"847";847;"c";"c";190;NA;NA;1;31;2013;"Feb,May,Aug,Nov";NA;"NW"
"848";848;"a";"c";370;7;2007;1;14;2011;"Jan,Apr,Jul,Oct";Jul 2007;"BW"
"849";849;"c";"c";5000;NA;NA;0;NA;NA;"";NA;"BE"
"850";850;"d";"a";1120;5;2007;1;31;2013;"Jan,Apr,Jul,Oct";May 2007;"NW"
"851";851;"d";"c";2330;NA;NA;1;49;2014;"Mar,Jun,Sept,Dec";NA;"BY"
"852";852;"c";"a";940;4;2004;1;14;2011;"Jan,Apr,Jul,Oct";Apr 2004;"HE"
"853";853;"a";"a";14040;NA;NA;0;NA;NA;"";NA;"BW"
"854";854;"c";"a";4770;NA;NA;1;13;2010;"Jan,Apr,Jul,Oct";NA;"SN"
"855";855;"a";"a";3440;NA;NA;1;45;2009;"Feb,May,Aug,Nov";NA;"BW"
"856";856;"a";"a";3020;2;2010;0;NA;NA;"";Feb 2010;"HH"
"857";857;"c";"a";6270;8;2005;1;23;2014;"Mar,Jun,Sept,Dec";Aug 2005;"HE"
"858";858;"a";"a";3370;12;2008;1;40;2014;"Jan,Apr,Jul,Oct";Dec 2008;"BY"
"859";859;"c";"a";21770;NA;NA;0;NA;NA;"";NA;"BY"
"860";860;"c";"c";5980;2;2010;0;NA;NA;"";Feb 2010;"HH"
"861";861;"c";"c";740;NA;NA;1;14;2013;"Mar,Jun,Sept,Dec";NA;"RP"
"862";862;"a";"c";2840;3;2010;1;14;2011;"Jan,Apr,Jul,Oct";Mar 2010;"SH"
"863";863;"a";"c";21370;11;2010;0;NA;NA;"";Nov 2010;"SH"
"864";864;"a";"a";1020;10;2012;1;45;2009;"Feb,May,Aug,Nov";Oct 2012;"BW"
"865";865;"d";"c";2640;NA;NA;0;NA;NA;"";NA;"NW"
"866";866;"d";"a";9680;NA;NA;1;5;2013;"Feb,May,Aug,Nov";NA;"HE"
"867";867;"d";"c";21810;9;2012;0;NA;NA;"";Sep 2012;"SH"
"868";868;"d";"c";1360;8;2005;1;10;2014;"Jan,Apr,Jul,Oct";Aug 2005;"HE"
"869";869;"c";"a";230;10;2001;1;14;2011;"Jan,Apr,Jul,Oct";Oct 2001;"SN"
"870";870;"a";"a";780;4;2009;0;NA;NA;"";Apr 2009;"HB, NI"
"871";871;"d";"c";10620;NA;NA;0;NA;NA;"";NA;"HE"
"872";872;"a";"c";3860;9;2014;1;23;2015;"Mar,Jun,Sept,Dec";Sep 2014;"NW"
"873";873;"a";"a";2040;11;2008;0;NA;NA;"";Nov 2008;"SN"
"874";874;"a";"a";3210;NA;NA;0;NA;NA;"";NA;"BE"
"875";875;"d";"a";5070;11;2007;1;18;2015;"Feb,May,Aug,Nov";Nov 2007;"RP"
"876";876;"a";"a";21790;4;2005;1;18;2015;"Feb,May,Aug,Nov";Apr 2005;"ST"
"877";877;"a";"c";29190;NA;NA;0;NA;NA;"";NA;"SH"
"878";878;"d";"c";1100;12;2014;0;NA;NA;"";Dec 2014;"ST"
"879";879;"d";"a";NA;NA;NA;1;5;2013;"Feb,May,Aug,Nov";NA;"BY"
"880";880;"a";"c";4570;NA;NA;0;NA;NA;"";NA;"BW"
"881";881;"a";"a";180;3;2008;1;31;2013;"Feb,May,Aug,Nov";Mar 2008;"NW"
"882";882;"a";"a";30;4;2013;0;NA;NA;"";Apr 2013;"NW"
"883";883;"a";"a";3200;6;2005;0;NA;NA;"";Jun 2005;"NW"
"884";884;"d";"c";7550;NA;NA;0;NA;NA;"";NA;"BY"
"885";885;"a";"a";480;12;2005;0;NA;NA;"";Dec 2005;"NW"
"886";886;"a";"c";12430;10;2004;0;NA;NA;"";Oct 2004;"NW"
"887";887;"d";"a";19700;NA;NA;1;37;2009;"Jan,Apr,Jul,Oct";NA;"HE"
